pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_sent_perc,inter_hume_rec,inter_hume_rec_perc,inter_vt_sent,inter_vt_sent_perc,inter_vt_rec,inter_vt_rec_perc,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
jodavis5,894,71,0.0794,384,0.4295,604,74,0.1225,305,0.505,1498,322,0.3602,40,0.1242,168,0.5217,29,0.048,5,0.1724,20,0.6897,0,0,0,0,0,0,0,0,0,0,0,0,548,61,481,80,849,95,535,89,647,0.7237,247,0.2763,406,0.6722,198,0.3278,1.7192,2.6973,423.1877133,451.6331658,369583.6405,392260.7549,125,0.1398,96,0.1589,88,0.0984,70,0.1159,1.0034,0.6779,1.6813,487,269,0.54,0.45,446,0.4989,6,0.0067,382,0.6325,33,0.0546,28.81569966,27.14070352,321.1127911,343.0455292,0.003269096,0.011368313,40.93333333,49.79166667,0.80952381,0.807971014,0.027931034,0.408653846,0.185185185,0.282352941,104.8330914,39.00498662,0.012840169,0.009385159,1.26043E+11,4.51E+16,0.166453635,0.195484186,0.394078531,0.355816857,2,2,0.004617914,0.004044416,0.002033117,0.002033117,0.002024215,0.002024215,1.792682927,1.697674419,2,5,41,15,24,GradStudent
jonblack,231,44,0.1905,33,0.1429,299,50,0.1672,132,0.4415,530,0,0,0,0,0,0,142,0.4749,12,0.0845,70,0.493,0,0,0,0,0,0,1,0.0033,1,1,1,1,46,20,249,83,231,100,282,94,231,1,0,0,123,0.4114,176,0.5886,6.7941,2.5287,884.7125,670.2828283,8201.479844,392117.5362,26,0.1126,48,0.1605,2,0.0087,42,0.1405,0.5775,0.7475,1.325,231,128,1,0.43,0,0,0,0,188,0.6288,24,0.0803,92.3625,37.34343434,145.1560938,1020.730538,0.007945603,0.008436214,42.42857143,58.45454545,0.80952381,0.982683983,0.024085638,0.389908257,0.086419753,0.258823529,83.54153869,36.44118932,0.001640187,0.001809342,30669452408,5.13E+16,0.042418102,0.217526704,0.285049146,0.472219615,3,2,0.002684456,0.002695974,0.001993866,0.001993866,0.002021012,0.002021012,1.951219512,1.720930233,2,2,3,7,22,Director
jpokorsk,8241,356,0.0432,2285,0.2773,13366,409,0.0306,5540,0.4145,21607,359,0.0436,73,0.2033,97,0.2702,2015,0.1508,56,0.0278,1109,0.5504,19,0.0023,19,1,14,0.7368,11,0.0008,11,1,11,1,6165,75,9622,72,7522,91,12105,91,4390,0.5327,3851,0.4673,6928,0.5183,6438,0.4817,2.3512,2.0682,288.1541652,542.802379,112225.5393,317655.2287,1385,0.1681,2312,0.173,1064,0.1291,1907,0.1427,7.7892,12.6333,20.4225,7820,7699,0.95,0.58,5339,0.6479,1021,0.1239,8264,0.6183,964,0.0721,29.60352575,31.07324708,555.318439,651.9284829,0.034013797,0.022685185,32.21621622,41.83606557,0.621848739,0.581531268,0.026671057,0.435897436,0.456790123,0.717647059,127.3193766,42.20705663,0.077982531,0.53468644,5.77377E+11,2.28E+17,0.55779234,0.670091651,0.268639887,0.229271493,2,2,0.033734419,0.033252796,0.051275251,0.051275251,0.051376723,0.051376723,1.548780488,1.290697674,2,45,171,37,61,PM
jrmurphy,1812,114,0.0629,361,0.1992,3460,149,0.0431,2106,0.6087,5272,22,0.0121,9,0.4091,10,0.4545,806,0.2329,38,0.0471,526,0.6526,0,0,0,0,0,0,0,0,0,0,0,0,1690,93,2275,66,1767,98,3415,99,1568,0.8653,244,0.1347,2378,0.6873,1082,0.3127,3.4449,1.5473,331.5506329,473.8972431,571988.4531,338441.9402,113,0.0624,358,0.1035,104,0.0574,223,0.0645,1.6339,3.1199,4.7538,1725,1218,0.95,0.35,397,0.2191,876,0.4834,1403,0.4055,204,0.059,26.16772152,38.01002506,252.0161733,645.1561234,0.005838297,0.031378601,36.12903226,44.32075472,0.750537634,0.658823529,0.029063509,0.372807018,0.382716049,0.623529412,121.9770428,41.59477106,0.021981184,0.235880982,5.06759E+11,1.91E+17,0.516936535,0.599241904,0.333355302,0.268075246,2,2,0.01050274,0.010384005,0.007508939,0.007508939,0.007512815,0.007512815,1.597560976,1.38372093,2,42,99,31,53,Operations
jsprick,2906,142,0.0489,504,0.1734,2953,223,0.0755,1359,0.4602,5859,892,0.307,115,0.1289,255,0.2859,681,0.2306,29,0.0426,343,0.5037,0,0,0,0,0,0,8,0.0027,8,1,8,1,2017,69,1780,60,2391,82,2399,81,1421,0.489,1485,0.511,2103,0.7122,850,0.2878,2.2792,1.8561,323.2552381,531.2381423,83640.81676,661143.0727,247,0.085,268,0.0908,202,0.0695,162,0.0549,12.0083,12.2025,24.2107,813,1089,0.28,0.37,2092,0.7199,167,0.0575,1722,0.5831,166,0.0562,27.92285714,36.68379447,368.2121442,711.9612789,0.004405226,0,39.95454545,52.63333333,0.935064935,0.931216931,0.021686747,0.354166667,0.271604938,0.352941176,120.1804263,41.40070705,0.014590897,0.205976065,3.04549E+11,8.05E+16,0.348815358,0.314399699,0.543313338,0.47328153,2,2,0.008373902,0.008450892,0.007336834,0.007336834,0.007364698,0.007364698,1.707317073,1.651162791,2,13,7,22,30,PM
justus,10895,567,0.052,2690,0.2469,14149,761,0.0538,5850,0.4135,25044,2157,0.198,169,0.0783,431,0.1998,2199,0.1554,80,0.0364,1156,0.5257,0,0,0,0,0,0,9,0.0006,9,1,9,1,7215,66,8314,59,8744,80,10383,73,6136,0.5632,4759,0.4368,9752,0.6892,4397,0.3108,2.0884,1.7015,471.4974781,451.9479757,177252.1353,342735.536,2003,0.1838,3309,0.2339,1298,0.1191,1832,0.1295,9.8419,12.7814,22.6233,3081,4628,0.28,0.33,7822,0.7179,878,0.0806,9218,0.6515,944,0.0667,29.13804088,34.77672065,390.527268,721.2511585,0.002364891,0.027520576,31,43.32653061,0.613445378,0.639222942,0.027720739,0.363247863,0.456790123,0.576470588,127.2077708,42.19892867,0.107946751,2.124569197,5.56303E+11,1.54E+17,0.542133707,0.520496641,0.406347004,0.273877339,2,2,0.031444309,0.031743942,0.049018194,0.049018194,0.049133701,0.049133701,1.548780488,1.430232558,2,43,59,37,49,Research
jziegler,1750,99,0.0566,446,0.2549,2268,103,0.0454,1230,0.5423,4018,876,0.5006,65,0.0742,183,0.2089,539,0.2377,35,0.0649,309,0.5733,33,0.0189,25,0.7576,20,0.6061,24,0.0106,22,0.9167,23,0.9583,1637,94,2133,94,1712,98,2212,98,1445,0.8257,305,0.1743,1793,0.7906,475,0.2094,2.2966,1.4413,350.9398734,504.1673254,279013.9426,254306.6505,269,0.1537,327,0.1442,252,0.144,310,0.1367,1.6892,2.1892,3.8784,165,855,0.09,0.38,1142,0.6526,33,0.0189,1164,0.5132,140,0.0617,15.9193038,33.91304348,211.5646907,1053.504955,0.016618809,0.10149177,29.35,44.66666667,0.523470839,0.664404223,0.032806804,0.427135678,0.49382716,0.635294118,121.7874326,41.53765842,0.050021697,0.510136276,5.69168E+11,2.00E+17,0.555516615,0.616373099,0.274486447,0.240432674,2,2,0.012059641,0.01148785,0.004444512,0.004444512,0.004203817,0.004203817,1.512195122,1.372093023,2,48,164,40,54,Research
kevin007,303,47,0.1551,76,0.2508,398,49,0.1231,197,0.495,701,44,0.1452,18,0.4091,16,0.3636,97,0.2437,10,0.1031,44,0.4536,2,0.0066,2,1,2,1,6,0.0151,3,0.5,3,0.5,245,81,331,83,285,94,385,97,246,0.8119,57,0.1881,296,0.7437,102,0.2563,2.0753,1.2879,227.5588235,472.304,53281.20732,387419.9716,71,0.2343,55,0.1382,51,0.1683,36,0.0905,0.3966,0.5209,0.9175,62,99,0.2,0.25,229,0.7558,19,0.0627,263,0.6608,11,0.0276,26.33333333,30.568,184.2614379,676.037376,0.006761345,0,43.71428571,51.03571429,0.952380952,0.870769231,0.023957409,0.377777778,0.086419753,0.329411765,84.49440254,37.16571107,0.00330302,0.076150237,31291279014,6.51E+16,0.043749901,0.263300465,0.554832714,0.419493896,3,2,0.003017616,0.003240894,0.000329619,0.000329619,0.000427855,0.000427855,1.93902439,1.674418605,2,2,11,7,28,GradStudent
kgantt,5546,379,0.0683,1167,0.2104,4681,268,0.0573,1973,0.4215,10227,286,0.0516,50,0.1748,90,0.3147,1540,0.329,42,0.0273,845,0.5487,0,0,0,0,0,0,3,0.0006,3,1,3,1,4202,76,3720,79,5092,92,4259,91,3564,0.6426,1982,0.3574,3159,0.6749,1522,0.3251,2.4881,1.5842,475.4371501,486.039086,116647.3158,329193.6287,281,0.0507,487,0.104,225,0.0406,393,0.084,8.1439,6.8737,15.0176,2174,1810,0.39,0.39,3401,0.6132,968,0.1745,3227,0.6894,392,0.0837,29.38117048,30.66446182,364.9055996,485.8453215,0.020166809,0.012654321,33.53125,41.11864407,0.696551724,0.569548872,0.024441762,0.382882883,0.395061728,0.694117647,124.8749999,41.94781733,0.085180675,2.042621471,4.67957E+11,2.06E+17,0.477948985,0.634232002,0.334265734,0.268487305,2,2,0.016533557,0.017428572,0.016820212,0.016820212,0.016862396,0.016862396,1.609756098,1.313953488,2,24,118,32,59,Outreach
kkarranc,1881,94,0.05,505,0.2685,2562,108,0.0422,1305,0.5094,4443,1392,0.74,79,0.0568,389,0.2795,647,0.2525,37,0.0572,394,0.609,25,0.0133,25,1,14,0.56,17,0.0066,17,1,15,0.8824,1812,96,2355,92,1843,98,2427,95,1549,0.8235,332,0.1765,1784,0.6963,778,0.3037,2.0785,1.9342,293.0812772,429.2043133,367703.2126,240060.5008,320,0.1701,451,0.176,312,0.1659,411,0.1604,1.721,2.344,4.065,357,835,0.19,0.33,1393,0.7406,55,0.0292,1501,0.5859,143,0.0558,27.4383164,38.1600454,423.4014927,1023.255884,0.000574503,0.01718107,35.58064516,47,0.768472906,0.733615222,0.027420447,0.377777778,0.382716049,0.541176471,122.2734647,41.64439124,0.063236512,1.435829802,4.8733E+11,1.59E+17,0.491057365,0.530352108,0.311574892,0.307801899,2,2,0.01145156,0.011785376,0.007604432,0.007604432,0.007478004,0.007478004,1.62195122,1.465116279,2,30,53,31,46,Research
kls,581,69,0.1188,134,0.2306,715,61,0.0853,381,0.5329,1296,8,0.0138,7,0.875,2,0.25,175,0.2448,11,0.0629,91,0.52,0,0,0,0,0,0,0,0,0,0,0,0,487,84,620,87,547,94,686,96,384,0.6609,197,0.3391,489,0.6839,226,0.3161,2.7023,1.7152,539.9170984,646.5934579,121567.2885,345950.559,84,0.1446,112,0.1566,73,0.1256,102,0.1427,0.563,0.6928,1.2558,190,303,0.33,0.42,356,0.6127,71,0.1222,444,0.621,48,0.0671,22.80310881,33.72897196,224.7073478,719.281684,0.002462594,0.012911523,46.83333333,58.15789474,0.954545455,0.941520468,0.028027682,0.376106195,0.148148148,0.223529412,104.9823295,39.49613505,0.003957392,0.003819615,1.0389E+11,3.72E+16,0.137480188,0.163174102,0.584298221,0.482366926,3,2,0.003891183,0.003854707,0.002661338,0.002661338,0.002712898,0.002712898,1.841463415,1.755813953,2,2,3,12,19,Outreach
krich,4039,480,0.1188,728,0.1802,9086,464,0.0511,4741,0.5218,13125,0,0,0,0,0,0,1963,0.216,74,0.0377,1172,0.597,0,0,0,0,0,0,0,0,0,0,0,0,2814,70,7168,79,3359,83,8281,91,2135,0.5286,1904,0.4714,4327,0.4762,4759,0.5238,3.2494,1.4172,273.2187277,411.1281971,113806.2467,133726.1835,528,0.1307,3591,0.3952,385,0.0953,3187,0.3508,3.642,8.193,11.835,810,3179,0.2,0.35,3447,0.8534,192,0.0475,6187,0.6809,764,0.0841,29.20586133,30.92981909,295.5144474,443.5618245,0.034679319,0.029552469,32.51724138,41.20689655,0.689458689,0.569480519,0.027420447,0.456989247,0.358024691,0.682352941,126.7056744,42.14692384,0.100011757,2.885013569,3.64175E+11,1.98E+17,0.396691514,0.618022431,0.502547858,0.244354159,2,2,0.026092758,0.026800905,0.067230967,0.067230967,0.067418009,0.067418009,1.646341463,1.325581395,2,14,143,29,58,Operations
krooks,297,29,0.0976,140,0.4714,597,42,0.0704,288,0.4824,894,47,0.1582,11,0.234,24,0.5106,72,0.1206,9,0.125,36,0.5,3,0.0101,3,1,3,1,2,0.0034,2,1,2,1,273,92,555,93,288,97,580,97,242,0.8148,55,0.1852,485,0.8124,112,0.1876,1.3687,1.0452,251.5049505,477.8235294,57381.14106,196289.7471,57,0.1919,73,0.1223,56,0.1886,70,0.1173,0.2909,0.5847,0.8756,33,116,0.11,0.19,205,0.6902,1,0.0034,321,0.5377,26,0.0436,22.32673267,30.15837104,442.3387903,843.1740136,0.002972104,0.028858025,47.90909091,55.25,0.981818182,0.942105263,0.029944547,0.381165919,0.135802469,0.235294118,94.94028627,38.21760602,0.003586003,0.00411799,88833694046,3.78E+16,0.118912494,0.165692964,0.462882096,0.519946994,2,2,0.003423318,0.003480217,0.000734732,0.000734732,0.00081988,0.00081988,1.841463415,1.744186047,2,2,8,11,20,GradStudent
