pid1 pid1_Status pid2 pid2_Status weight
42 GradStudent 9 Operations 5.0
2 GradStudent 58 GradStudent 36.0
2 GradStudent 44 GradStudent 29.0
2 GradStudent 25 Director 51.0
2 GradStudent 12 Director 11.0
2 GradStudent 24 PM 75.0
2 GradStudent 50 PM 12.0
2 GradStudent 47 Research 40.0
2 GradStudent 33 Research 26.0
2 GradStudent 21 Operations 1.0
54 GradStudent 40 GradStudent 16.0
54 GradStudent 54 GradStudent 12.0
54 GradStudent 12 Director 33.0
54 GradStudent 25 Director 20.0
54 GradStudent 29 PM 33.0
54 GradStudent 0 PM 2.0
54 GradStudent 19 Research 9.0
54 GradStudent 62 Research 2.0
54 GradStudent 9 Operations 18.0
54 GradStudent 21 Operations 8.0
54 GradStudent 15 Outreach 1.0
41 Research 23 GradStudent 191.0
41 Research 66 GradStudent 159.0
41 Research 25 Director 536.0
41 Research 12 Director 196.0
41 Research 24 PM 655.0
41 Research 50 PM 297.0
41 Research 43 Research 459.0
41 Research 47 Research 328.0
41 Research 18 Operations 179.0
41 Research 9 Operations 173.0
41 Research 15 Outreach 126.0
13 Research 64 GradStudent 1.0
13 Research 17 GradStudent 1.0
13 Research 25 Director 24.0
13 Research 12 Director 21.0
13 Research 24 PM 45.0
13 Research 29 PM 10.0
13 Research 57 Research 85.0
13 Research 4 Research 9.0
13 Research 18 Operations 15.0
13 Research 9 Operations 5.0
58 GradStudent 38 GradStudent 43.0
58 GradStudent 2 GradStudent 12.0
58 GradStudent 25 Director 137.0
58 GradStudent 12 Director 10.0
58 GradStudent 29 PM 33.0
58 GradStudent 0 PM 18.0
58 GradStudent 47 Research 118.0
58 GradStudent 4 Research 34.0
58 GradStudent 18 Operations 37.0
58 GradStudent 9 Operations 7.0
30 Director 65 GradStudent 19.0
30 Director 25 Director 12.0
30 Director 56 Director 4.0
30 Director 24 PM 2.0
30 Director 29 PM 2.0
30 Director 47 Research 2.0
30 Director 18 Operations 1.0
30 Director 9 Operations 1.0
50 PM 11 GradStudent 26.0
50 PM 65 GradStudent 21.0
50 PM 25 Director 1258.0
50 PM 12 Director 490.0
50 PM 24 PM 1747.0
50 PM 29 PM 306.0
50 PM 57 Research 306.0
50 PM 41 Research 178.0
50 PM 18 Operations 151.0
50 PM 3 Operations 60.0
50 PM 15 Outreach 4.0
50 PM 63 Outreach 2.0
6 Operations 64 GradStudent 27.0
6 Operations 52 GradStudent 5.0
6 Operations 28 Director 165.0
6 Operations 56 Director 114.0
6 Operations 24 PM 170.0
6 Operations 50 PM 64.0
