@relation 0_norm_email_features

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_add_sent_perc numeric
@attribute unique_subjects_sent numeric
@attribute unique_sub_sent_perc numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_add_rec_perc numeric
@attribute unique_subjects_received numeric
@attribute unique_sub_rec_perc numeric
@attribute total_emails numeric
@attribute total_sent_signed numeric
@attribute total_sent_signed_perc numeric
@attribute unique_addresses_sent_signed numeric
@attribute unique_add_sent_perc_signed numeric
@attribute unique_subjects_sent_signed numeric
@attribute unique_sub_sent_perc_signed numeric
@attribute total_received_signed numeric
@attribute total_rec_signed_perc numeric
@attribute unique_addresses_received_signed numeric
@attribute unique_add_rec_perc_signed numeric
@attribute unique_subjects_received_signed numeric
@attribute unique_sub_rec_perc_signed numeric
@attribute total_sent_encrypted numeric
@attribute total_sent_encrypted_perc numeric
@attribute unique_addresses_sent_encrypted numeric
@attribute unique_add_sent_perc_encrypted numeric
@attribute unique_subjects_sent_encrypted numeric
@attribute unique_sub_sent_perc_encrypted numeric
@attribute total_received_encrypted numeric
@attribute total_rec_encrypted_perc numeric
@attribute unique_addresses_received_encrypted numeric
@attribute unique_add_rec_perc_encrypted numeric
@attribute unique_subjects_received_encrypted numeric
@attribute unique_sub_rec_perc_encrypted numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_hume_all numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute inter_vt_all numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute time_seg numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute rec_fw numeric
@attribute rec_fw_perc numeric
@attribute time_seg.1 numeric
@attribute avg_subject_chars_sent numeric
@attribute avg_subject_chars_rec numeric
@attribute var_subject_chars_sent numeric
@attribute var_subject_chars_rec numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute fg_current_flow_closeness_centrality numeric
@attribute fg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute fg_communicability_betweenness_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute fg_eccentricity numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute pg_avg_shortest_paths_x numeric
@attribute pg_avg_shortest_paths_y numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute pg_degree numeric
@attribute fg_degree numeric
@attribute Status {Research,PM,GradStudent,Director,Operations,Outreach}

@data
0,0,0,0,0,0.092593,0.118644,0.70912,0.076923,0.509179,0.051813,0,0,0,0,0,0,0.133333,0.1818,0.2,0.5,0.111111,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0.366197,0,0,0,0,0,0.107843,1,0,0,0,0.524993,0,0,0.226276,0,0.00313,0,0,0.03125,0.1818,0,0,0,0,0,0.101245,0.052474,0,0.75,0,0.906667,0,0,0,0,0.121212,0.3636,0,0,0,0,0.486528,0,0.069078,0.004215,0,0,0.756757,0,0,0,0.542735,0,0.083333,0.438792,0.013646,0,0.011983,0,0.017007,0,0.324324,1,0,0,0,0.923077,0,0.074074,0,0.083333,GradStudent
0.026667,0.12,0.75,0.111111,0.625,0.083333,0.067797,0.466667,0.054945,0.280058,0.067358,0,0,0,0,0,0,0.2,0.3,0.4,0.6667,0.333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.8,0.79,1,1,1,0.022222,0.75,0.055556,0.28845,0.04902,0.5,0.277778,0.5,0.133333,0.374995,0,0.103314,0.197245,0.055035,0.003034,0,0,0,0,0,0,0,0,0.046667,0.144861,0.113494,0,0.15,0,0.2,0.068182,0.75,0.333333,0.5,0.151515,0.5,0,0,0,0.636272,0.560768,0,0.537954,0.237417,0,0,0.551351,0,0.333333,0,0.638191,0,0.208333,0.629778,0.165832,0,0.039986,0,0.104418,0,0.376812,0.75,0,0,0,0.807692,0,0.074074,0,0.208333,Research
0.12,0.56,0.7778,0.166667,0.208375,0.009259,0.016949,1,0.010989,1,0.098446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.5,0.7,0.89,1,0.9,0.096296,0.7222,0.277778,0.320526,0.019608,1,0,0,0.4,0.374995,0,0.334561,0.340289,0.349348,0.002176,0.083333,0.1667,0,0,0.055556,0.1111,0,0,0.119999,0,0.089957,0.055046,0.05,0.33,0.333333,0.340909,0.8333,0,0,0.030303,0.5,0,0,0,0.432665,0.415778,0,0.032537,0.45174,0,0,0.610811,0,0.355556,0,0.92029,0,0.416667,0.797411,0.120327,0,0.278964,0,0.348218,0,0.517799,0.75,0,0,0,0.707692,0,0.222222,0,0.416667,GradStudent
0.013333,0.08,1,0.055556,0.625,0.027778,0.033898,0.733333,0.021978,0.550036,0.025907,0,0,0,0,0,0,0.133333,0.5,0.2,0.5,0.111111,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.007407,0.5,0.055556,0.576901,0.039216,1,0,0,0.133333,0.937488,0,0.051555,0.167354,0,0.00008,0.055556,1,0,0,0.055556,1,0,0,0.018667,0.033646,0.029289,0.018349,0,1,0,0,0,0,0,0.030303,0.25,0,0,0,0.275188,0.261194,0.000212,0.012256,0.044731,0,0,0.567568,0,1,0,0.721591,0,0.083333,0.273975,0.01002,0,0.008551,0,0.011515,0,1,1,0,0,0,1,0,0.037037,0,0.083333,GradStudent
0.34,0.72,0.3529,0.611111,0.269625,0.527778,0.237288,0.209173,0.32967,0.162167,0.559585,0.464286,0.2549,0.533333,0.6154,0.266667,0.3077,1,0.2586,1,0.3333,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.93,0.94,0.98,0.929577,0.96,0.244444,0.6471,1,0.407177,0.392157,0.6897,1,0.3103,0.2,0.517869,0,0.132794,0.213809,0.04875,0.005478,1,0.7059,0.6875,0.7586,1,0.7059,1,0.7586,0.339999,0.523365,0.555438,0.027523,0.95,0.06,0.22,1,0.8627,0,0,1,0.569,0.25,0.0344,0,0.252637,0.662819,0.005817,0.59893,1,0,0,0.504505,0,0.257143,0,1,0,0.875,0.954482,0.451672,0,0.900747,0,0.893964,0,0.379504,0.75,0,0,0,0.592308,0,0.925926,0,0.875,Research
0,0,0,0,0,0.101852,0.169492,0.911147,0.087912,0.550036,0.056995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,1,0,0,0,0,0,0.088235,0.75,0.166667,0.25,0,0.406232,0,0,0.357708,0,0.005813,0,0,0,0,0,0,0,0,0,0.242992,0.131799,0,0.15,0,0.166667,0,0,0,0,0.090909,0.25,0,0,0,0,0.973703,0,0.227455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PM
0,0,0,0,0,0.101852,0,0.022187,0.120879,1,0.056995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.117647,1,0,0,0,0.696404,0,0,0.069161,0,0.000005,0,0,0.0625,0.3334,0,0,0,0,0,0.138319,0.073222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888415,0,0.002057,0,0,0,0.783784,0,0.666667,0,0.641414,0,0.166667,0.695351,0.04936,0,0.05572,0,0.077531,0,0.594059,0.75,0,0,0,0.815385,0,0.074074,0,0.166667,Operations
0.026667,0.16,1,0.166667,0.9375,0.268519,0.135593,0.253333,0.230769,0.519978,0.170984,0.071429,0.5,0.133333,1,0.133333,1,0.466667,0.2333,0.6,0.4286,0.222222,0.2857,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.02963,1,0,0,0.284314,0.9667,0.055556,0.0333,0.088887,0.41377,0,0.248773,0.285474,0.012462,0.003967,0,0,0.125,0.2666,0,0,0.181818,0.2666,0.026665,0.261682,0.163178,0,0.75,0,0.333333,0.045455,0.5,0,0,0.393939,0.4333,0,0,0,0.119217,0.886283,0.016708,0.574108,0.117128,0,0,0.908108,0,0.9,0,0.881944,0,0.208333,0.696385,0.03276,0,0.134304,0,0.165104,0,0.500894,0.75,0,0,0,0.769231,0,0.074074,0,0.208333,Research
0,0,0,0,0,0.009259,0,0.466667,0.010989,1,0.005181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.009804,0.5,0.055556,0.5,0,0,0,0,0.077566,0,0.000001,0,0,0,0,0,0,0,0,0,0.007478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395646,0.810235,0.014267,0.000578,0.03243,0,0,0.432432,0,0,0,0.760479,0,0.083333,0.272208,0.015304,0,0.006926,0,0.009397,0,0.347826,1,0,0,0,0.984615,0,0.074074,0,0.083333,Outreach
0,0,0,0,0,0.175926,0.186441,0.573333,0.10989,0.190065,0.098446,0,0,0,0,0,0,0.133333,0.1,0.4,1,0.222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.127451,0.65,0.388889,0.35,0,0.374995,0,0,0.278853,0,0.002509,0,0,0.21875,0.7,0,0,0.318182,0.7,0,0.199376,0.107391,0,0.4,0,0.266667,0,0,0,0,0.272727,0.45,0.25,0.1,0,0,1,0,1,0.006067,0,0,1,0,0.666667,0,0.808917,0,0.166667,0.749643,0.036803,0,0.092922,0,0.116832,0,0.571429,0.75,0,0,0,0.792308,0,0.074074,0,0.166667,Research
