pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,sent_bcc,sent_bcc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,rec_bcc,rec_bcc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
deannac,0.0866796495,0.0910633484,0.18075,0.0881155614,0.4220915582,0.2699880513,0.2737875998,0.0551189245,0.2586241476,0.0851839844,0.0870081105,0.8,0.2709677419,0.9285714286,0.2945205479,0.1222572976,0.832801607,0.0297925164,0.2765021983,0,0,0.2939986514,0.1115174936,0,0,0,0,0.4424163407,0.4022168188,0.5177714939,0.0880292912,0.1646718789,0.0080909116,0.003802917,0.0301596688,0.1375799195,0.3068681319,0.0107484598,0.046,0.1052631579,0.2579968537,0.1224504854,0.3871239597,0.1967009033,0.1184488385,0.2789616428,0.4772727273,0.3866666667,0.0448175695,0.4617862372,0.0487253953,0.08077198,0.213809337,0.6287685616,0.2816901408,0.7085253456,0.5089312043,0.418108488,0.6709173681,0.6765419068,1,0.8672857795,0.537405628,0.0133333333,0.5270935961,0.0173410405,0.9677419355,1,0.96875,1,0.9135239677,0.488884114,0.9698909798,0.987582284,0.9816260426,0.8672857795,1,0.4763587628,0.0357915512,1,0.3034636148,0.2710405981,0.153146066,0.1531460657,0.1523579247,0.1523579244,0.5438596491,1,0,0,0.9642857143,1,Operations
fnguyen,0.0115676728,0.0378959276,0.564,0.0158896914,0.570348593,0.0476907891,0.1203192142,0.1893485005,0.0566586442,0.1818771276,0.0125563232,0.2625,0.1612903226,0.880952381,0.198630137,0.0157449628,0.8036157391,0.0046698587,0.3248656571,0,0,0.0633850303,0.2013663653,0,0,0,0,0.3900236612,0.3420595573,0.4776505343,0.1623191665,0.0723385048,0.0128408466,0.015378829,0.9158781786,0.0618044045,0.7785714286,0.0060296238,0.1935,0.0378289474,0.5238594651,0.0132059832,0.0549841722,0.0248587075,0.0086388942,0.0227302079,0.2613636364,0.08,0.0058416063,0.4510980966,0.0083898032,0.1043602573,0.0238328756,0.395680216,0.0246478873,0.3502304147,0.3105551249,0.3973351308,0.1470195329,0.6195964374,0.004914584,0,0.8680851064,0.36,1,0.9286076463,0.5454545455,0.4139150943,0.15625,0.5757575758,0.3476119354,0.0424678247,0.0505491203,0.4554889776,0.0839470223,0,0.0049157004,0.9026247245,0.6650697299,1,0.0578836252,0.0316453441,0.0053955363,0.0053955363,0.0062700018,0.0062700018,0.9649122807,1,0.4375,0,0.0357142857,0.09375,GradStudent
gmoy,0.000097371,0.0005656109,1,0.0001313198,0.5599888002,0.0019221778,0.006752609,0.3278179938,0.0017047734,0.0679202464,0.0001051367,0.25,0.0451612903,0.4761904762,0.2671232877,7.7945360302428E-005,0.4726456339,0,0,0,0,0.001733937,0.0683872749,0,0,0,0,0.2414409194,0.4105219945,0.2852051451,0.0165322663,0.0020795226,0.0014588169,4.17902962932007E-005,0.2956830278,0.0011839924,0.3434065934,0,0,0.0008223684,0.2621919245,0.0003689261,0.0137774889,0.0040661298,0,0.0005165956,0,0,3.19213458039391E-005,0.2928257687,0,0,0.0006865437,0.2624868757,0,0,0.3906890956,0.3513163574,0.0993345007,0.1059654527,0.0033273513,0,0,0.3466666667,0,0.5930635838,0,0.0537683824,0,0.1212121212,0,0,0,0.0308020767,0,0,0.0033281071,0,0.2284229891,0,0,0.0007684304,0,0,0.0003118241,0.0003118241,0,0,0.90625,1,0,0.03125,PM
jmernst,0.1021226874,0.0755090498,0.12725,0.1222586999,0.4971300574,0.2877552081,0.2302025783,0.036401241,0.2859005215,0.1001783109,0.1067287474,0.8875,0.3677419355,0.9404761905,0.3287671233,0.1406913753,0.813423136,0.0432700833,0.34098681,0,0,0.3388883537,0.1445034849,0,0,0,0,0.3421459269,0.4225850254,0.3120723697,0.083481443,0.0666849272,0.0079533708,0.0284591918,0.1920461266,0.2791854132,0.5843406593,0.077467558,0.28175,0.3729440789,0.8584163608,0.1352482951,0.3884991929,0.2064937974,0.045242209,0.2141288906,0.1477272727,0.2266666667,0.08704951,0.7613469985,0.0706679574,0.0995949488,0.2538250294,0.7004649768,0.2394366197,0.5656682028,0.2893970707,0.2696984351,0.2418609562,0.7202352875,0.4607472697,0.6943935463,0.556231003,0.0803921569,0.5476190476,0.1570016782,0.9375,0.94453125,0.875,0.9696969697,0.9435416764,0.6709372055,0.8476068444,0.9867606274,0.9342408059,0.6943935463,0.4606247697,0.4542449255,0,1,0.3916245742,0.378953029,0.1719225708,0.1719225704,0.171579189,0.1715791886,0.5614035088,1,0.03125,0,0.9285714286,1,Research
jrmurphy,0.0212074002,0.0234728507,0.1905,0.0180564675,0.3534929301,0.1075900047,0.0705954573,0.0247156153,0.1260529483,0.174906792,0.0204866326,1,0.3032258065,0.9761904762,0.3698630137,0.0312560895,0.8702587735,0.0070934563,0.2691744016,0,0,0.1181003757,0.1150369195,0,0,0,0,0.6032642812,0.4006063094,0.2768448741,0.040251721,0.1675382092,0.0040159074,0.0026327887,0.0856002365,0.0445181151,0.2489010989,0.0078647267,0.13775,0.046875,0.2884111169,0.0217525087,0.1091339804,0.0460612472,0.0613041531,0.076327005,1,0.2133333333,0.0063842692,0.2689604685,0.1474669248,1,0.0670851314,0.4946752662,0.099471831,0.6278801843,0.345499644,0.4323167775,0.2339200028,0.5943955685,0.1366348882,0.0355307038,0.7209011264,0.2051612903,0.8823529412,0.428685327,0.6976744186,0.7936046512,0.53125,0.8787878788,0.7344900307,0.1159206517,0.4842530869,0.9062660064,0.6241302606,0.0355307038,0.1366659271,0.634547412,0.17078392,1,0.1241367695,0.0930157237,0.0594497377,0.0594497375,0.0577484731,0.0577484729,0.7543859649,1,0.125,0,0.1785714286,0.5625,Operations
jsprick,0.033865628,0.032239819,0.164,0.0259356533,0.3179336413,0.0934594005,0.0988336403,0.0599793175,0.0851383875,0.0657318852,0.0320516672,0.725,0.264516129,0.8095238095,0.2534246575,0.0276706029,0.4824530308,0.0420878406,1,0,0,0.1010499952,0.1089641847,0,0,0,0,0.389709788,0.4061009884,0.3031427401,0.0654811159,0.0312364622,0.0057227854,0.0041790296,0.0850088705,0.0279422212,0.1799450549,0.0110106174,0.12075,0.0320723684,0.2270582066,0.1537464049,0.4221672502,0.2293742941,0.0248928137,0.070773602,0.25,0.2266666667,0.0316978964,0.8360175695,0.0322684737,0.1370026209,0.0854256571,0.7250637468,0.0783450704,0.569124424,0.3753685025,0.4104468282,0.3277274256,0.7515624969,0.0624808153,0,0.7775628627,0.2766666667,1,0.740677774,0.612244898,0.3836805556,0.34375,0.5454545455,0.6534866119,0.0591076279,0.2300592029,0.3833022901,0.3359593905,0,0.0633357278,0.8593384759,0.7183707018,1,0.0925656515,0.071613123,0.061038693,0.0610386928,0.0619700952,0.061970095,0.8596491228,1,0.46875,0,0.0357142857,0.03125,PM
jthews,0,0,0,0,0,0,0,1,0,0.2232938888,0,0,0.5935483871,0,0.4863013699,0,0,0,0,0,0,0,0.3961769374,0,0,0,0,0,0.4210376733,0,0.0115503489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2666666667,0,0,0,0,0.0001961554,1,0,0,0,0,0,0,0,0,0,0.7511111111,0,1,0,0.035326087,0,0.0303030303,0,0,0,0.0056667945,0,0,0,0,0.9147384581,0,0,0.0001819203,0,0,0,0,0,0,0.9375,0,0,0,GradStudent
justus,0.1276338851,0.1216063348,0.164,0.1341431385,0.4363712726,0.4461010962,0.349907919,0.0348500517,0.3898916968,0.050008105,0.1291228597,0.7,0.2580645161,0.8095238095,0.2191780822,0.1220624342,0.5646933711,0.1425193592,0.8986321446,0,0,0.4763510259,0.1035815334,0,0,0,0,0.3864503356,0.3891432722,0.4495869668,0.0402812677,0.0727900893,0.0048424609,0.0438380208,0.2366942637,0.405162207,0.5472527473,0.091099751,0.265,0.3819901316,0.5668589407,0.1310142798,0.4500199157,0.2203239508,0.0993152876,0.2985922769,0.2727272727,0.1866666667,0.1261212373,0.8825768668,0.1474669248,0.1660710031,0.4593958415,0.8179091045,0.4207746479,0.6405529954,0.3880740446,0.3428370525,0.3600168641,0.6585097767,0.0070979602,0.0345405729,0.6651735722,0.3806060606,0.8823529412,0.9196836021,0.6976744186,0.4453125,0.59375,0.6060606061,0.9250359181,0.2545118928,0.527245314,0.5068515076,0.6385693462,0.0345405729,0.0070995726,0.6967544742,0.6649755486,1,0.320303953,0.2963969171,0.3964370699,0.396437068,0.3964946487,0.3964946467,0.7543859649,1,0.40625,0,0.1785714286,0.0625,Research
jziegler,0.0202336904,0.0231900452,0.19725,0.0211424819,0.433851323,0.0709127747,0.0534069982,0.0339193382,0.0743080626,0.1231155779,0.020441574,0.9625,0.4451612903,0.9642857143,0.3493150685,0.0277095756,0.8085785183,0.0088077082,0.3502686859,0,0,0.0852519025,0.1540266372,0,0,0,0,0.413612439,0.4256797297,0.3354548888,0.0588426112,0.1365295381,0.0028418046,0.0055581094,0.1892371378,0.0383613545,0.3252747253,0.0161226897,0.296,0.0637335526,0.5941269009,0.0217195408,0.0757468397,0.0368411449,0.0049913611,0.0555340307,0.0909090909,0.2533333333,0.0179397963,0.7919472914,0.0048402711,0.0343102216,0.0566888976,0.6337183141,0.0686619718,0.6566820276,0.2116989751,0.3221685817,0.2254461041,0.9670987497,0.0783817219,0.2428480551,0.6170212766,0.2595555556,0.6714285714,0.5720708322,0.7692307692,0.7478693182,0.65625,0.8484848485,0.7524879409,0.2127863413,0.5642229539,0.8870446355,0.7136930658,0.2428480551,0.0783995276,0.6037201915,0.2634349277,1,0.1465694295,0.1074007868,0.0439437857,0.0439437856,0.0424884517,0.0424884515,0.6842105263,1,0.15625,0,0.4642857143,0.8125,Research
kgantt,0.0660759494,0.0808823529,0.21075,0.0614576494,0.386252275,0.1451503974,0.1252302026,0.0423991727,0.1316686723,0.0639487761,0.0650195254,0.8125,0.3806451613,0.9166666667,0.3219178082,0.070306715,0.6282642089,0.0624815275,0.7608695652,0,0,0.153164435,0.0990959906,0,0,0,0,0.4287749288,0.3774591846,0.4500461367,0.0500749416,0.046855976,0.0044064956,0.0058088512,0.0606150207,0.053753256,0.2230769231,0.0153362171,0.08625,0.0752467105,0.3429470372,0.1099242681,0.2422716505,0.1475886153,0.0658475715,0.1153299755,0.3409090909,0.2533333333,0.0567880742,0.7676427526,0.1481122943,0.3223731237,0.1601608474,0.8756562172,0.1698943662,0.7949308756,0.3845070058,0.2612899573,0.3266457314,0.4774801122,0.8552969173,0.1338556047,0.6237911025,0,0.7578947368,0,0.75,1,0.6875,1,0.865099582,0.2349828084,0.6354424613,0.9796845921,0.7358907401,0.1338556047,0.8552540259,0.5713358183,0.1509863148,1,0.2224820516,0.2169408672,0.1700557501,0.1700557498,0.1699567683,0.169956768,0.701754386,1,0,0,0.3571428571,1,Outreach
