pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,sent_bcc,sent_bcc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,rec_bcc,rec_bcc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status
jrmurphy,0.0212074,0.023472851,0.1905,0.018056468,0.35349293,0.107590005,0.070595457,0.024715615,0.126052948,0.174906792,0.020486633,1,0.303225807,0.976190476,0.369863014,0.03125609,0.870258774,0.007093456,0.269174402,0,0,0.118100376,0.11503692,0,0,0,0,0.603264281,0.400606309,0.276844874,0.040251721,0.167538209,0.004015907,0.002632789,0.085600237,0.044518115,0.248901099,0.007864727,0.13775,0.046875,0.288411117,0.021752509,0.10913398,0.046061247,0.061304153,0.076327005,1,0.213333333,0.006384269,0.268960469,0.147466925,1,0.067085131,0.494675266,0.099471831,0.627880184,0.345499644,0.432316778,0.233920003,0.594395569,0.136634888,0.035530704,0.720901126,0.20516129,0.882352941,0.428685327,0.697674419,0.793604651,0.53125,0.878787879,0.734490031,0.115920652,0.484253087,0.906266006,0.624130261,0.035530704,0.136665927,0.634547412,0.17078392,1,0.12413677,0.093015724,0.059449738,0.059449738,0.057748473,0.057748473,0.754385965,1,0.125,0,0.178571429,0.5625,Operations
jsprick,0.033865628,0.032239819,0.164,0.025935653,0.317933641,0.093459401,0.09883364,0.059979318,0.085138388,0.065731885,0.032051667,0.725,0.264516129,0.80952381,0.253424658,0.027670603,0.482453031,0.042087841,1,0,0,0.101049995,0.108964185,0,0,0,0,0.389709788,0.406100988,0.30314274,0.065481116,0.031236462,0.005722785,0.00417903,0.085008871,0.027942221,0.179945055,0.011010617,0.12075,0.032072368,0.227058207,0.153746405,0.42216725,0.229374294,0.024892814,0.070773602,0.25,0.226666667,0.031697896,0.83601757,0.032268474,0.137002621,0.085425657,0.725063747,0.07834507,0.569124424,0.375368503,0.410446828,0.327727426,0.751562497,0.062480815,0,0.777562863,0.276666667,1,0.740677774,0.612244898,0.383680556,0.34375,0.545454546,0.653486612,0.059107628,0.230059203,0.38330229,0.335959391,0,0.063335728,0.859338476,0.718370702,1,0.092565652,0.071613123,0.061038693,0.061038693,0.061970095,0.061970095,0.859649123,1,0.46875,0,0.035714286,0.03125,PM
justus,0.127633885,0.121606335,0.164,0.134143139,0.436371273,0.446101096,0.349907919,0.034850052,0.389891697,0.050008105,0.12912286,0.7,0.258064516,0.80952381,0.219178082,0.122062434,0.564693371,0.142519359,0.898632145,0,0,0.476351026,0.103581533,0,0,0,0,0.386450336,0.389143272,0.449586967,0.040281268,0.072790089,0.004842461,0.043838021,0.236694264,0.405162207,0.547252747,0.091099751,0.265,0.381990132,0.566858941,0.13101428,0.450019916,0.220323951,0.099315288,0.298592277,0.272727273,0.186666667,0.126121237,0.882576867,0.147466925,0.166071003,0.459395842,0.817909105,0.420774648,0.640552995,0.388074045,0.342837053,0.360016864,0.658509777,0.00709796,0.034540573,0.665173572,0.380606061,0.882352941,0.919683602,0.697674419,0.4453125,0.59375,0.606060606,0.925035918,0.254511893,0.527245314,0.506851508,0.638569346,0.034540573,0.007099573,0.696754474,0.664975549,1,0.320303953,0.296396917,0.39643707,0.396437068,0.396494649,0.396494647,0.754385965,1,0.40625,0,0.178571429,0.0625,Research
jziegler,0.02023369,0.023190045,0.19725,0.021142482,0.433851323,0.070912775,0.053406998,0.033919338,0.074308063,0.123115578,0.020441574,0.9625,0.44516129,0.964285714,0.349315069,0.027709576,0.808578518,0.008807708,0.350268686,0,0,0.085251903,0.154026637,0,0,0,0,0.413612439,0.42567973,0.335454889,0.058842611,0.136529538,0.002841805,0.005558109,0.189237138,0.038361355,0.325274725,0.01612269,0.296,0.063733553,0.594126901,0.021719541,0.07574684,0.036841145,0.004991361,0.055534031,0.090909091,0.253333333,0.017939796,0.791947291,0.004840271,0.034310222,0.056688898,0.633718314,0.068661972,0.656682028,0.211698975,0.322168582,0.225446104,0.96709875,0.078381722,0.242848055,0.617021277,0.259555556,0.671428571,0.572070832,0.769230769,0.747869318,0.65625,0.848484849,0.752487941,0.212786341,0.564222954,0.887044636,0.713693066,0.242848055,0.078399528,0.603720192,0.263434928,1,0.14656943,0.107400787,0.043943786,0.043943786,0.042488452,0.042488452,0.684210526,1,0.15625,0,0.464285714,0.8125,Research
ksterne,0.015813048,0.053450226,0.582,0.02206172,0.579308414,0.159073199,0.224063843,0.090072389,0.191235459,0.187712757,0.017242415,0.175,0,0.464285714,0.061643836,0.018200242,0.67954626,0.011585979,0.589643381,0,0,0.222714575,0.227313505,0,0,0,0,0.35337293,0.33287018,0.380617378,1,0.061067533,1,0.008232688,0.358663513,0.182571632,0.690934066,0.003145891,0.074,0.013980263,0.058206607,0.016631501,0.171048825,0.059346324,0.012990337,0.056696371,0.284090909,0.013333333,0.014619976,0.825768668,0.013875444,0.126280677,0.05786583,0.288735563,0.075704225,0.323732719,0.325739044,0.449782733,0.233882708,0.585556816,0,0,0.686170213,0.445185185,1,1,0.555555556,0.326450893,0.25,0.484848485,0.345394478,0.073053195,0.088077377,0.3501911,0.132497771,0,0,1,0.774835883,1,0.060263952,0.025212048,0.009272478,0.009272478,0.004633356,0.004633356,0.947368421,1,0.53125,0,0.035714286,0,Research
kstraub,0.003407984,0.011595023,0.58575,0.00538411,0.65602688,0.048625903,0.099447514,0.147569804,0.061572403,0.214621495,0.003860018,0.625,0.116129032,0.80952381,0.068493151,0.003936241,0.681909488,0.001536916,0.3629702,0,0,0.072343705,0.260230488,0,0,0,0,0.297696654,0.324280797,0.247944388,0.241413857,0.034842264,0.012027819,0.001128338,0.228119456,0.072223538,0.892307692,0.002097261,0.2285,0.013157895,0.178814893,0.008519837,0.141192009,0.045157021,0.002175722,0.025571484,0.215909091,0.106666667,0.002521786,0.66090776,0.001290739,0.054562783,0.01353472,0.220488976,0.019366197,0.269585254,0.360186877,0.629986044,0.411591281,0.586901646,0.014446543,0.0015127,0.781914894,0.35884058,0.964285714,0.840132122,0.576923077,0.477941177,0.25,0.636363636,0.287196462,0.030241872,0.11386169,0.548774516,0.181592291,0.0015127,0.014449825,0.7401453,0.468338427,1,0.050733072,0.021298717,0.003528197,0.003528196,0.005007605,0.005007605,0.912280702,1,0.375,0,0.071428571,0.15625,GradStudent
leslie,0.121051607,0.053733032,0.0765,0.070321733,0.241215176,0.084523871,0.084714549,0.05532575,0.094665062,0.153347382,0.109447282,0.9375,0.451612903,0.988095238,0.376712329,0.189407226,0.923904053,0.023408406,0.155593552,0,0,0.100664676,0.14974812,0,0,0,0,1,0.367196135,0.988563045,0,0.152110683,0.002053028,0.008901333,0.050709639,0.034572579,0.246153846,0.026084677,0.08,0.053042763,0.414787625,0.172118923,0.122877927,0.160456802,0.261022589,0.080718068,0.75,0.333333333,0.01755674,0.129575403,0.03743143,0.044555635,0.086112201,0.8080096,0.10915493,0.876728111,1,0.318495124,0.95151254,0.510931417,0.617739749,0.830577591,0.540494166,0.024,0.52955665,0.040462428,0.967741936,1,0.96875,1,0.935303323,0.780561206,0.977706036,1,0.984172091,0.830577591,0.617642892,0.470379696,0.105521109,1,0.377887633,0.37354113,0.120329024,0.120329024,0.119158547,0.119158547,0.543859649,1,0,0,0.964285714,1,Operations
mifowler,0.084771178,0.09530543,0.1935,0.07793828,0.381772365,0.22977817,0.184162063,0.036711479,0.214801444,0.075538985,0.083208171,0.7875,0.348387097,0.857142857,0.287671233,0.072216376,0.503013116,0.103268901,0.980214949,0,0,0.181292746,0,0,0,0,0,0.489135159,0.443395333,0.348145289,0.045313333,0.135438019,0.00321858,0.024447323,0.198698995,0.230641724,0.60467033,0.059640844,0.26125,0.347039474,1,0.086022569,0.225466971,0.125377916,0.106994305,0.187524215,0.431818182,0.266666667,0.067800939,0.714348463,0.07357212,0.124851084,0.227147901,0.784910755,0.26584507,0.785714286,0.503628411,0.347717421,0.74958911,0.543393856,0.164391805,0.08269726,0.68868981,0.233333333,0.81871345,0.521067141,0.731707317,0.66236413,0.59375,0.787878788,0.904380852,0.302531068,0.564372057,0.752359107,0.701140821,0.08269726,0.16442915,0.598598146,0.414413947,1,0.272374617,0.230361129,0.314437425,0.314437423,0.313718653,0.313718651,0.719298246,1,0.21875,0,0.392857143,0.375,Research
mryan91,0.004459591,0.017533937,0.67675,0.007550886,0.703065939,0.023221986,0.05893186,0.193381593,0.026173285,0.156589399,0.005166717,0.475,0.180645161,0.773809524,0.219178082,0.005417203,0.71723975,0.002364485,0.426722032,0,0,0.030825547,0.201435374,0,0,0,0,0.300135207,0.338712224,0.196479866,0.10953498,0.030953076,0.005316396,0.001796983,0.277646363,0.011603126,0.299175824,0.001704024,0.142,0.008223684,0.232826429,0.008854226,0.045969686,0.019174672,0.001791771,0.015756167,0.136363636,0.186666667,0.002872921,0.575402635,0.004517586,0.145580176,0.012161632,0.413379331,0.007922535,0.230414747,0.31178181,0.460314877,0.272112208,0.667421538,0.195306766,0,0.823404255,0.32,1,0.404128819,0.545454546,0.477941177,0.15625,0.575757576,0.21430227,0.019104782,0.04809658,0.438031129,0.079349867,0,0.195123967,0.891577061,0.502538227,1,0.045371512,0.023460066,0.002689956,0.002689956,0.003959606,0.003959606,0.964912281,1,0.375,0,0.035714286,0.1875,GradStudent
pudavid,0.011781889,0.029128959,0.4255,0.02245568,0.791404172,0.095069874,0.14732965,0.102998966,0.094865624,0.102123521,0.014223491,0.7,0.167741936,0.952380952,0.150684932,0.019954012,1,0.001359579,0.092818759,0,0,0.131297563,0.220343662,0,0,0,0,0.278984982,0.335364891,0.250971257,0.195886847,0.051077945,0.014384205,0.007355092,0.430070964,0.124082406,0.78543956,0.013238957,0.41725,0.060032895,0.417933928,0.01834583,0.140856586,0.052292669,0.006655148,0.03551595,0.193181818,0.026666667,0.00995946,0.755051245,0.001613424,0.019776031,0.04982346,0.415629219,0.022007042,0.156682028,0.307823153,0.464770625,0.318396534,0.655058666,0.021608029,0.002016933,0.783365571,0.297971015,0.981818182,0.767464905,0.612244898,0.477941177,0.34375,0.636363636,0.515328098,0.077269961,0.225050113,0.529884411,0.333777955,0.002016933,0.021612937,0.731374005,0.500483807,1,0.077731955,0.040637108,0.011202744,0.011202744,0.010565789,0.010565789,0.859649123,1,0.375,0,0.071428571,0.28125,GradStudent
rchase,0.007692308,0.02658371,0.595,0.014839133,0.801063979,0.044158138,0.062615101,0.093174767,0.048636181,0.145647593,0.009327125,0.8375,0.419354839,0.988095238,0.335616438,0.012042558,0.924376699,0.001950701,0.20395701,0,0,0.054619016,0.167207232,0,0,0,0,0.274325173,0.341933243,0.190295741,0.033622145,0.037140035,0.003697615,0.000417903,0.037403903,0.009471939,0.128846154,0.001179709,0.057,0.013980263,0.209229156,0.009469626,0.051172931,0.021059342,0.001791771,0.028283611,0.079545455,0.173333333,0.005777764,0.670863836,0.004517586,0.084345961,0.034032954,0.610169492,0.065140845,1,0.273974165,0.153556834,0.313191359,0.562944592,0.266714818,0.026630171,0.726677578,0.1425,0.871794872,0.291369344,0.638297872,0.841517857,0.40625,0.909090909,0.554909693,0.057564499,0.28383599,0.919713102,0.407397938,0.026630171,0.266708478,0.757952703,0.200421802,1,0.076125094,0.044133166,0.036265664,0.036265664,0.032180374,0.032180374,0.824561404,1,0.09375,0,0.107142857,0.59375,Operations
rwmcgwi,0.281752678,0.25,0.15275,0.274064347,0.403891922,1,0.920810313,0.04663909,1,0.102852975,0.279993992,0.7375,0.258064516,0.857142857,0.232876712,0.246229393,0.516010871,0.346338003,0.989252565,0,0,1,0.078324477,0,0,0,0,0.431986093,0.364764581,0.414712404,0.14535323,0.193948445,0.0147338,0.113753187,0.278089888,1,0.602747253,0.249442915,0.32875,1,0.662296801,0.285749721,1,0.48562939,0.685288283,0.796590469,0.840909091,0.253333333,0.315446739,1,0.145530816,0.074338813,0.799627305,0.635218239,0.960387324,0.653225807,0.321456323,0.371308911,0.320405781,0.756836469,0.152124787,0.318535817,0.593380615,0.195,0.653333333,0.403627666,0.857142857,0.841517857,0.84375,0.909090909,0.990758095,0.7394837,0.875730076,0.959753828,0.909546902,0.318535817,0.152159344,0.480687982,0.115624281,1,0.718950081,0.714079804,0.809225023,0.809225018,0.809119082,0.809119077,0.614035088,1,0.09375,0,0.785714286,0.875,Director
saikou,0.018461539,0.041289593,0.385,0.026723572,0.60100798,0.065094291,0.092081031,0.091830403,0.068792619,0.126924947,0.020351457,0.7,0.316129032,0.904761905,0.315068493,0.025916832,0.828902281,0.008275699,0.360771861,0,0,0.080050092,0.164308881,0,0,0,0,0.303684388,0.372596078,0.267361383,0.083289776,0.069462496,0.010166067,0.005725271,0.213630988,0.034572579,0.319230769,0.011010617,0.2215,0.035773026,0.363398007,0.019630006,0.069944026,0.033704647,0.015102067,0.04378148,0.284090909,0.186666667,0.015832988,0.766032211,0.009357857,0.072909221,0.056198509,0.684265787,0.043133803,0.449308756,0.280651238,0.309119141,0.159629737,0.734582096,0.055576492,0.0017288,0.707037643,0.283333333,0.981818182,0.643148066,0.612244898,0.66236413,0.40625,0.787878788,0.6023724,0.080670997,0.259935103,0.781837254,0.359630117,0.0017288,0.055589117,0.754289475,0.334860662,1,0.089722957,0.061399077,0.030887968,0.030887968,0.028067799,0.028067799,0.859649123,1,0.21875,0,0.071428571,0.59375,GradStudent
sarowe,0.099552094,0.088235294,0.1525,0.100590939,0.419571609,0.321315393,0.18723143,0.01737332,0.301845167,0.077403145,0.099789727,0.8625,0.380645161,0.928571429,0.342465753,0.118710784,0.704123833,0.07057989,0.570591109,0,0,0.282824391,0.0338831,0,0,0,0,0.454367666,0.346038463,0.357140166,0.045866403,0.072812824,0.003694539,0.014375862,0.099497339,0.191096377,0.358241758,0.038537161,0.14375,0.28412829,0.585736759,0.099586489,0.323490074,0.16235533,0.103218788,0.283611004,0.363636364,0.306666667,0.063938456,0.573645681,0.160696999,0.232070527,0.321400549,0.794360282,0.330105634,0.698156682,0.420574875,0.291147984,0.494571918,0.52364515,0.099629351,0.269863445,0.599018003,0.23827957,0.670289855,0.511375609,0.833333333,0.793604651,0.8125,0.878787879,0.944448704,0.480525046,0.827881812,0.93205656,0.878696661,0.269863445,0.099651983,0.514903265,0.162300805,1,0.382783264,0.363367414,0.346231386,0.346231385,0.34597771,0.345977709,0.631578947,1,0.125,0,0.678571429,0.84375,PM
