@relation 'trai_norm_email_features_35_30_35-weka.filters.unsupervised.attribute.Remove-R1-2,4-8,10-17,19-20,22-45,47-49,51-66,69-78,81-90,92,94,96,98,100-104,108-110,112-114,116-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R8'

@attribute unique_add_sent_perc numeric
@attribute unique_subjects_received numeric
@attribute total_received_signed numeric
@attribute rec_cc numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute rec_fw numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations,Outreach}

@data
0.221989,0.008738,0.026606,0.003815,0.017004,0.008262,0.003759,0.435642,0.024662,0.045007,0.007851,0.010687,0.001066,0.012346,GradStudent
0.306362,0.053599,0.03634,0.016452,0.054007,0.024233,0.018797,0.53641,0.022169,0.040509,0.011826,0.015762,0.002085,0,GradStudent
0.27712,0.00939,0.01817,0.00453,0.007976,0.00312,0.006266,0.448271,0.019531,0.035923,0.006282,0.007239,0.009347,0,GradStudent
0.141075,0.068727,0.149254,0.068193,0.088161,0.03712,0.081454,0.856626,0.239058,0.362661,0.041596,0.046797,0.040806,0,Research
0.134682,0.00626,0.024659,0.015975,0.014867,0.010289,0.007519,0.504905,0.026079,0.045494,0.01126,0.0099,0.005369,0.012346,GradStudent
0.312231,0.01591,0.022064,0.005246,0.014194,0.00499,0.007519,0.549052,0.029617,0.053618,0.01166,0.010304,0.002054,0.012346,GradStudent
0.20522,0.013172,0.014276,0.012876,0.017774,0.007891,0.007519,0.514801,0.023937,0.043503,0.009664,0.013671,0.003845,0,GradStudent
0.314957,0.013693,0.001298,0.017167,0.02268,0.011363,0.02005,0.564755,0.037021,0.066783,0.011359,0.013815,0.01184,0.012346,Research
0.225867,0.009911,0.024659,0.006438,0.009305,0.004296,0.003759,0.417447,0.019531,0.035923,0.005362,0.008627,0.009938,0,GradStudent
0.035426,0.278821,0.509409,0.186218,0.378213,0.202638,0.214286,0.974116,0.68537,0.816281,0.25296,0.255536,0.110065,0.62963,Research
0.245362,0.025822,0.035042,0.029566,0.032843,0.012407,0.028822,0.689982,0.046528,0.080253,0.014432,0.017584,0.031109,0,Research
0.104916,0.015258,0.004543,0.013352,0.018892,0.014302,0.011278,0.587344,0.044477,0.08435,0.021596,0.014598,0.007751,0.037037,GradStudent
0.31873,0.005738,0.035691,0.015021,0.024876,0.011747,0.013784,0.41569,0.010347,0.01901,0.005249,0.005754,0.011485,0.012346,Director
0.03595,0.36711,0.469825,0.531712,0.431765,0.19443,0.453634,0.975685,0.445712,0.601333,0.22568,0.232889,0.324993,0.160494,PM
0.082276,0.121153,0.172615,0.087983,0.104679,0.043245,0.080201,0.895474,0.450121,0.597762,0.062571,0.061536,0.048518,0.185185,Operations
0.055655,0.079943,0.149903,0.070339,0.412814,0.226867,0.066416,0.869075,0.338713,0.479119,0.046824,0.045852,0.045132,0.08642,PM
0.057436,0.398148,0.492537,0.359561,0.441035,0.217796,0.389724,0.97433,0.518803,0.643727,0.211887,0.217674,0.306776,0.197531,Research
0.079027,0.069379,0.110967,0.037196,0.071923,0.034548,0.057644,0.878919,0.281506,0.430403,0.064488,0.066627,0.024758,0.271605,Research
0.292108,0.009781,0.018819,0.007153,0.016029,0.007908,0.005013,0.469863,0.018307,0.033787,0.008824,0.009882,0.001313,0,GradStudent
0.086783,0.124935,0.343284,0.122794,0.232076,0.138987,0.182957,0.935426,0.407052,0.544051,0.10132,0.107531,0.101127,0.160494,Outreach
0.0414,0.08242,0.162881,0.066762,0.081936,0.038503,0.068922,0.899343,0.364896,0.496779,0.066952,0.072226,0.051446,0.098765,Research
0.150613,0.019823,0.03634,0.018836,0.021782,0.011013,0.02381,0.679535,0.077097,0.130354,0.014361,0.013142,0.018375,0.012346,Outreach
0.162876,0.293688,0.475665,0.401288,0.28515,0.115711,0.373434,0.966485,0.357258,0.485849,0.174543,0.181363,0.426417,0.08642,Operations
0.178493,0.015389,0.018819,0.008345,0.018545,0.007493,0.013784,0.510506,0.014767,0.027117,0.009316,0.011181,0.002667,0,GradStudent
