@relation trai_social_100_0_0

@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Research,Director,PM,Operations}

@data
0.222842,0.004195,0.378538,0.209499,0.800568,0.278351,0.346362,0.591315,0.338028,0.716418,0.850106,0.030275,0.336364,0.716022,0.470814,0.004196,0.222861,0.296417,0.130641,0,0.027707,0.023814,0.024542,0.024542,0.021112,0.021112,0.474747,0,0.287879,0,0.136364,0.501493,Operations
0.528843,0.417225,0.063495,0.050812,0.098362,0.062386,0.827273,0.949282,0.873239,0.970149,0.996765,0.525096,0.954767,0.993459,0.951748,0.417046,0.528777,0.069587,0.011722,0,0.550061,0.539503,0.68456,0.68456,0.68452,0.68452,0.090909,0,0.030303,0,0.94697,0.952239,Director
0.186967,0.011948,0.311699,0.223727,0.6048,0.298195,0.328283,0.573612,0.309859,0.701493,0.850773,0.051499,0.225467,0.700602,0.346001,0.012129,0.18702,0.291129,0.081937,0,0.033766,0.038126,0.015213,0.015213,0.016232,0.016232,0.494949,0,0.30303,0,0.083333,0.635821,GradStudent
0.577371,0.287755,0.078823,0.038457,0.123558,0.046831,0.776405,0.974371,0.830986,0.985075,0.984759,0.292653,0.905461,1,0.923707,0.28758,0.577314,0.065166,0,0,0.242854,0.237463,0.244738,0.244738,0.244583,0.244583,0.121212,0,0.015152,0,0.810606,1,PM
0.134556,0.038019,0.352605,0.303109,0.524955,0.404871,0.364973,0.427347,0.338028,0.567164,0.857916,0.047838,0.294326,0.53409,0.447504,0.038255,0.1345,0.192962,0.232923,0,0.039109,0.040174,0.01862,0.01862,0.01847,0.01847,0.454545,0,0.439394,0,0.151515,0.265672,GradStudent
0.009417,0.000108,0.199324,0.549737,0.776247,0.655163,0,0.036364,0.028169,0.074627,0.42897,0.004772,0.001931,0.024606,0.003334,0.000108,0.009419,0,0.592334,1,0.004813,0.002702,0.000878,0.000878,0,0,1,1,0.939394,1,0.007576,0.008955,Operations
0.014805,0.000767,0.480764,0.512495,0.896729,0.696156,0.252932,0.168694,0.197183,0.268657,0.771038,0.020849,0.136017,0.195469,0.218368,0.000767,0.014807,0.521021,0.352334,1,0.015672,0.014206,0.029426,0.029426,0.027803,0.027803,0.585859,1,0.742424,0,0.007576,0.056716,Research
1,0.459861,0.060664,0,0.097665,0,0.776405,1,0.830986,1,1,1,0.848271,0.96468,0.90813,0.45965,1,0.105966,0.012368,0,1,1,1,1,1,1,0.121212,0,0,0,0.878788,0.877612,Director
0.075102,0.023623,0.281322,0.36253,0.53337,0.485829,0.374486,0.427347,0.380282,0.567164,0.903302,0.089647,0.323062,0.57613,0.464783,0.023754,0.075116,0.309374,0.1606,0,0.061118,0.060241,0.016995,0.016995,0.013974,0.013974,0.444444,0,0.439394,0,0.113636,0.322388,Research
0.003639,0,0.843477,0.784838,1,0.787162,0.193206,0.064892,0.070423,0.089552,0.334933,0.001944,0.035989,0.055354,0.065519,0,0.00364,0.360209,0.44409,1,0.002895,0.001355,0.001423,0.001423,0.000895,0.000895,0.666667,1,0.893939,0,0,0.01194,GradStudent
0.028879,0.000589,0.588224,0.523499,0.923285,0.662705,0.268879,0.26289,0.183099,0.358209,0.800039,0.015654,0.137767,0.327675,0.230024,0.000589,0.028885,0.248852,0.359241,0,0.022037,0.008588,0.009234,0.009234,0.00082,0.00082,0.565657,0,0.621212,0,0.037879,0.095522,GradStudent
0.172366,0.068088,0.230026,0.235117,0.390806,0.320202,0.489247,0.573612,0.535211,0.701493,0.929434,0.117559,0.561366,0.71583,0.695603,0.067968,0.172334,0.108096,0.118249,0,0.074926,0.073393,0.03643,0.03643,0.035754,0.035754,0.333333,0,0.30303,0,0.356061,0.591045,Research
